Remote_host,Identd,REMOTE_USER,Date_time,Method,Path,Version,Status,Length,Label
172.17.0.1,-,-,12/Feb/2019:08:55:47 +0000,GET,/dvwa/js/dvwaPage.js?query=xfgJDMVAMjjhXgfSZMoTLqnwWQYYBIvfaxMGrUaeiVvvWBeYvliUscvrLsGCgfEcAkhVNCyXtuayEMFsRytKAlLegwHoWkjNEpKXQEnFcSlUmDApiTsJiBckIrvtjdPTlFEIRCKGuyJmEKjgahoBWLKBNBFtIbsHAADWFWEkhcaLCkDyPCxhmJReICtkavLimMJPDpigYYedqBOoSkdFKCHfrxRUiwGpYUOREXvlVMgbjZlNjBnlOPdDwupFwAiIyyNQTMDJWfFjZYDJIjKPtveWHXZunXGiQdBHVnbGoacJCklPENeBOkMNiRlnmnMyGMjgTkmoWSXlXHPUMoBBIWYLRwoHootmXewxPXiJHwZqUqvnQsAchTtQbfxHhKGIuidGbiyhgAnhuCMGvgmtTqXwsWnoXsTKjFaqHOfJOHBwlMkwpuvdlWfyaveQtbejbREbcBKSboZoPSFZRIFZCphCtNfupOGNdKFPWFhVNiJmGwXXGBYkSayHoGTEWtJBPEFrDOysrJptxfHWurybmiCMJLqhYPKYmKyCAUrWeWSExSRZqAElrUQLUiJBbIeunHYmWdYOeGedwBOhBLnyQVUjjgelotwxHIVFkyvEiOQYlHhruJvHhFYWMBKAjOBNAnxSvpWKXrPIpDPmEbVQoteSpKKwbsPbyJEaiurcpKWIsFtHcgfULFbtNGbUBPATFxaMKAbOFSCwjsEppJepRKbMEiUjcchTrrBohjbNkbkiHQcfHTROuaoexHbunAMOcoIVGVvfnBWGkQXnXqlpfxlbRPuTBgaEBqxLILyqdYNSYxYbMRBmASJuGxmwmBMbHDYAXgmOnVpNPLrWEJGfwVNLWVVsGkCqFhPaOpoWwXGTWOYigQhSFQNoHRAPggGuXYyPTsxiVCIcJxFCfZlPkFapMHaWlFtIjgDGKBASiGONVlQhukCZpxHWjTZZDNUpZeWjENQdnkCCCiWQtRqwwtFvWsRXxAEQXUfhMxuFdhQkJsvVZyhxhXcajZDAeDHeCmtPqsIHkdXkkHREacCXuggcCMYTLlMUexYSHISCfZTtrCQHCMuYTTUseWAETUNsvEeHporxhXMJcphEwlbOofRrVSVwOSCiwkrQwQnSsEgZImtyuyZSIVUWyhVyqktLRLqrjqHJNnBlqZtiZkGfjbuZekBeBrUQyOtdfaBdntsxmOvViPiiLIbtwrJNdfWnWIXmxyVyGEDCBKCbKkuREoKRKlhdEQplaHeIlhvVetDjlYJfFGOuHaeDPOJXqcdjfiYMnxBgcKMgLKVomKHFuIvNAEKeHrSXmBbZIvBSuMlqAHPJQvaeiQZZbpLylXdWlcsDqjCfoKTcECrHdYADBWMcKfPVHGByyEcSjKQpERDOxWObZXQGxKHcBtiLcDVBetAOYPOYePKPVDpksknFnkHLAhrQTlZYxBVHDgsEdEwvJWcNTgOPsUvcVSGftXabogngQITMEHuvPIWJJhARqNGGUrEQbCtyIcdhsgmcglYgjKUTyEfVqWvvIGEpEiRMGZMPpXCkQyrFbqrbWdmRoYJJfhoThkZcqEZAEsopACmQMkHRYblEALHWQqKgGpWQpfdfUlgQxylfsDgvmvIGASLBxiktYWjCMeCvQKxggDNdjsjwUEdxIoxYfRYkHLHfbpGtaToRJwBuYBZTcZJxddHhDDuXYSCmrAmEiDbGPvKHZItqNxIeoILTGgFRWgfFdWYjFJnxPxiQjvXbLYtvmNJahBblBLOwFiPSlqpixkTOIDfYLVwgIONcxiJcmRYAMyOhErUGctRnQfCDBbmfJIhqvEXQgNklObyuSaEFsgGbCXTHZsoYUutlVRyAmTrCMUfxjIHWwHEiVTEFcbUBGehUGIFonrcjPpYSocHxsTrDMddidYXfQCOVoNLjfhrNtoQuKSyqOpuOEwdPSDcgZWSCKkxJZYuSUXvdNeEFvdMcaeSPakenNmUrEXPyeEHAOGtWOSmnJTDPdrBjOaJkGcEPwmBRxjLTnckrMPmKZLdLCHsmPyDhAXWaxuPgirKCdyyuFBuxEEsKKXYyulKGwgEknWfoYgcLeqiJmTBBOcEQxxBLiGQp,HTTP/1.1,200,1296,2.0
172.17.0.1,-,-,12/Feb/2019:08:21:26 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:17 +0000,GET,/dvwa/css/?query=%3C%21--%23EXEC+cmd%3D%22ls+%2F%22--%3E,HTTP/1.1,200,1703,2.0
172.17.0.1,-,-,12/Feb/2019:08:08:29 +0000,GET,"/shopadmin.asp?Password=abc&UserName=\\\""><script>alert(foo)</script>",HTTP/1.1,404,504,1.0
172.17.0.1,-,-,12/Feb/2019:08:21:37 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:51 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:55 +0000,GET,/setup.php,HTTP/1.1,200,4428,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:34 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:35 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:26 +0000,GET,/dvwa/css?query=query%29+UNION+ALL+select+NULL+--+,HTTP/1.1,301,610,2.0
172.17.0.1,-,-,12/Feb/2019:08:21:47 +0000,GET,/?Login=%3C%21--%5Bif+gte+IE+4%5D%3E+%3CSCRIPT%3Ealert%28%27XSS%27%29%3B%3C%2FSCRIPT%3E+%3C%21%5Bendif%5D--%3E,HTTP/1.1,302,300,2.0
172.17.0.1,-,-,12/Feb/2019:08:21:35 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:56 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
ykline6.internorth.com,-,-,01/Aug/1995:00:11:47 -0400,GET,/images/,HTTP/1.0,200,17688,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:46 +0000,GET,/dvwa/images?query=DDquTRcSpaZJerhhxQXZpbAPjFhfwtPDoIwkrklHrtkPorSiwBprhTlXuxaXIoGEyHgFPUTrJPCNgkowNlfUKmmqTjsdnXkuJBvpXNLrhWiPsesuEtORwwwQDAOOCktQaDIhdMPjcByOSEBNZLqdCRpdltvMIhyJSbDiKNEyDnEOwyfEjiBDFegeeuknonIjvlUfAFhcFqusoGnDYwrvfBwgkIHgImwJeiSuEjAxWJtRmsWOQlpptYFtsnKjoWRsjTYCOXNbNYDHnBppXwWejCSmVYLWRngyLLigdFGtcAcOgDUKVLwLSHDLCgAmQCCKbgDPWYqFQXhBTYXdUqtwVBTOXAbCdmrhFbkVeDfXJjAaSLbltDYYYQHZgFLUEptBZFrXTgUfVhVRMTSnVdxCmpZyfevMFMrcQywsBKkDrjcaSUbWCoptaVHYGRhkpnMhTUXaYcbZdxoqHIAgPOTieuVkVTKrFyIXhLSkjbZeIMmIoFaOeUrTJvVOipElJdWfhaFYsXTtgulaNWBkkTOwseLlZdopFxQqravcYqTZBJkIdAXQlTiKtKNUyiOBCUXPJkxpibXiHTaOVndoyruyiQGXPuHDakxLEqxErPTAehphmWtlGbdobLgkVnvyZojHoLZPRrLEfvPBdrWtsAvZVJrsUhSSVBiXtWZuFBjTcxcTxDOomilQXUcuniTcmTGReYFxcBAKaevofLXKMxOOqGPSOaSGffDCSbgKUBObVSGQXwFUtDOLhiUNgpXkaNyyWCEPPpqinvpcvygjKjaBPLdIICmRnEbvXwOCHqHlmkQXhVNPQMXZiqbpnmrNcyHWybQTOGHBCsTkvrXcJjoMAyJKgqLBLYDAhwDAQlVaGLtiCWuQrpVVCSshEebvVnXwyQMVoaFgIDwjyoFusuLENSefvjapBCIguqjeQLUToTfgOxGnbgZAahLFQjbaDdIkPZxmDDQhIhGpDJJcUUclydAHnreSDwtUbliEovZUESgDbaJtoKWFVRvvJqnLuAgPffdYSymLPaOvXQOpSaKarbRrFyVdCsdcOMEERWsKLLIlleWwvyBJyJCBrTZDyuOHIpTayMGYlUNdluOKIuVjYNZwlVLVYqGcVLdScxnGjBEfymkAsosekfTZVCgEmmymVTOhyHEaQQXisiioMqwmxFLfVefoODIAawVQufvlaZmAxJPfspeajcUtbnYKSpaCNIMqGmfJtvVCyMCwcmyhexMrpoSKSaOPALTMPudGTOJylBcHgDNbyQtRlPnlxGGePCFZUJaHolkXOkMfbGVktaxtDkIGATEhSpqYVZFPFiemNotIXBrnFGBkrHdyYUeiSEgYnWGFdbwxLtumDcDZcrNjcZQqwiVRbxCosJZImiyoXoHvOupIbDOIZpDaMjfqFQkcrikxRNXGMtpwMLcFqllCBcUuxkcdUAvPYnbYXrAYfWlFkYewAXZoiGpotHhNDwfspigtHqMPBRrcRcUQMFcZHYuQByNeUANhCNGILoxBiflZKTkumkibtpQdmwijJUuHMXlBwSGfomIjYjkQDtiCUNPmgSSijhPqYKmBNlRysVFPqwZkFJQXvSlUegUANJMljVVqBvkuiHIWdhqTSZZcHxeZRBfVDvEnIhyeRDPuMbtaAKEVqIctbNrWdCoOWAdYdCQxbpfhmfIFDsAJcDjwAoBxYZpKQiZGroGmaWHtACQhuAKVbcqMskkbcFusPDRXnBRKWTpGYIPRbseQQHVopDBDXgTWJvwvwroZXOUDNlRsTQZMUSgirFOqLjAlZvpEfNhONrTbNwikPUtqLPFqyrWYfiiStDjqvoJUHQdLEqEloLEFmQyBUCxhfAEsyeWoAOjiibvCdgPRcknpfudntdqMQAUIUSBOPQRVibobhUUiATTlbxBkryaaxeEaZNZcUlkUCceHuosBLKQugEmbKcHGxWWUSkBEKUelDciVTeeOxyrYwvHuCBavSbucVlMNjYTfpXgXkNDBOEBEwmuURjHVTlaTBEBfyUrTjrxvXepAOddWZLvZbpdePVRhLQwjLIWhXMqGXZTtdmEVLgJmrrGpcqaUCYgEfACaEuTyfxdPuFIY,HTTP/1.1,301,4749,2.0
172.17.0.1,-,-,12/Feb/2019:08:55:12 +0000,GET,/login.php,HTTP/1.1,200,1845,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:25 +0000,GET,/about.php?query=query+AND+1%3D2+--+,HTTP/1.1,200,5112,2.0
172.17.0.1,-,-,12/Feb/2019:08:08:26 +0000,GET,/newuser?Image=../../database/rbsserv.mdb,HTTP/1.1,404,498,3.0
172.17.0.1,-,-,12/Feb/2019:08:21:25 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:44 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:18 +0000,GET,/setup.php,HTTP/1.1,200,4428,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:28 +0000,GET,/dvwa/js/dvwaPage.js?query=query+AND+1%3D1+--+,HTTP/1.1,200,1296,2.0
172.17.0.1,-,-,12/Feb/2019:08:55:26 +0000,GET,/dvwa/css?query=query%22+AND+%221%22%3D%221%22+--+,HTTP/1.1,301,610,2.0
172.17.0.1,-,-,12/Feb/2019:08:21:50 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:12 +0000,GET,/login.php,HTTP/1.1,200,1845,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:16 +0000,GET,/setup.php,HTTP/1.1,200,4428,0.0
ix-dfw13-20.ix.netcom.com,-,-,01/Jul/1995:00:08:49 -0400,GET,/shuttle/countdown/,HTTP/1.0,200,3985,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:16 +0000,GET,/setup.php,HTTP/1.1,200,4428,0.0
172.17.0.1,-,-,12/Feb/2019:08:08:27 +0000,GET,/cleartrust/ct_logon.asp?CTLoginErrorMsg=<script>alert(1)</script>,HTTP/1.1,404,514,1.0
91.233.165.63,-,-,12/Dec/2015:23:39:11 +0100,GET,/administrator/,HTTP/1.1,200,4263,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:46 +0000,GET,/?Login=%3CTABLE+BACKGROUND%3D%22javascript%3Aalert%28%27XSS%27%29%22%3E%3C%2FTABLE%3E,HTTP/1.1,302,300,1.0
172.17.0.1,-,-,12/Feb/2019:08:08:27 +0000,GET,"/ca000007.pl?ACTION=SHOWCART&REFPAGE=\\\""><script>alert('Vulnerable')</script>",HTTP/1.1,404,502,1.0
172.17.0.1,-,-,12/Feb/2019:08:21:42 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:26 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
slip-5.io.com,-,-,01/Jul/1995:00:18:15 -0400,GET,/icons/menu.xbm,HTTP/1.0,200,527,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:11 +0000,GET,/dvwa/js?query=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fetc%2Fpasswd,HTTP/1.1,301,724,3.0
172.17.0.1,-,-,12/Feb/2019:08:08:26 +0000,GET,/3rdparty/phpMyAdmin/db_details_importdocsql.php?submit_show=true&do=import&docpath=../,HTTP/1.1,404,538,3.0
172.17.0.1,-,-,12/Feb/2019:08:21:42 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
